lon,lat,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,nbr_丰台区 ,nbr_大兴区 ,nbr_密云县 ,nbr_平谷区 ,nbr_延庆县 ,nbr_怀柔区 ,nbr_房山区,nbr_昌平区,nbr_朝阳区 ,nbr_海淀区,nbr_石景山区,nbr_西城区,nbr_通州区 ,nbr_门头沟区 ,nbr_顺义区 ,rt_Private room,rt_Shared room
116.30019,39.89086,181,1,55,0.97,1,320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.45598,39.91897,752,2,59,1.14,1,157,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.47487,39.90881,503,30,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.47317,39.90858,799,30,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.49296,39.91383,698,30,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.46738,39.91567,1550,30,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.50248,39.91986,624,3,0,0.0,66,290,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.49621,39.91949,577,3,3,0.07,66,361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.45555,39.92008,1047,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.44302,39.94143,953,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.45731,39.91942,2000,5,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.45996,39.91698,953,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.49784,39.91817,181,3,2,0.05,66,337,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.4978,39.91783,168,3,8,0.19,66,290,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
